Tanggal;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;ddd_car
28/08/2013;25.00;33.40;28.90;74.00;0.00;8.00;4.00;20.00;2.00;E 
29/08/2013;26.00;34.00;29.20;72.00;0.00;8.00;4.00;80.00;2.00;E 
30/08/2013;25.00;33.60;28.90;77.00;0.90;7.00;4.00;20.00;3.00;N 
31/08/2013;26.00;33.40;29.10;73.00;0.00;7.00;4.00;60.00;3.00;E 
01/09/2013;26.00;34.60;29.70;73.00;0.00;8.00;4.00;70.00;2.00;E 
02/09/2013;25.00;34.80;29.90;70.00;0.00;8.00;5.00;90.00;2.00;E 
03/09/2013;27.00;32.40;28.90;76.00;0.00;7.20;4.00;40.00;2.00;E 
04/09/2013;26.00;32.00;29.00;76.00;0.00;2.30;4.00;350.00;2.00;NE
05/09/2013;24.00;33.80;28.70;75.00;15.40;8.00;5.00;330.00;2.00;N 
06/09/2013;25.00;32.00;28.30;78.00;0.00;5.50;4.00;340.00;2.00;N 
07/09/2013;25.00;31.60;28.00;78.00;25.40;3.50;4.00;350.00;2.00;N 
08/09/2013;28.00;32.00;27.80;82.00;0.00;7.80;3.00;10.00;1.00;N 
09/09/2013;25.00;32.00;28.50;76.00;0.00;8.00;4.00;350.00;2.00;N 
10/09/2013;25.00;32.20;28.80;73.00;0.00;5.30;5.00;300.00;2.00;N 
11/09/2013;25.00;33.40;28.60;67.00;0.00;8.00;4.00;190.00;2.00;N 
12/09/2013;25.00;34.20;29.20;68.00;0.00;8.00;7.00;90.00;2.00;E 
13/09/2013;25.00;33.40;28.90;73.00;0.00;8.00;5.00;350.00;2.00;N 
14/09/2013;25.00;33.40;29.10;73.00;3.00;4.00;5.00;350.00;2.00;N 
15/09/2013;26.00;32.00;28.10;77.00;2.50;4.30;5.00;360.00;2.00;N 
16/09/2013;26.00;33.00;28.80;71.00;0.00;2.50;5.00;80.00;2.00;E 
17/09/2013;25.00;33.00;28.70;72.00;0.00;6.50;5.00;20.00;2.00;N 
18/09/2013;26.00;33.00;28.90;73.00;0.00;6.00;3.00;340.00;1.00;N 
19/09/2013;26.00;34.00;29.50;72.00;0.00;6.20;4.00;50.00;2.00;N 
20/09/2013;25.00;34.00;29.70;71.00;0.00;7.80;3.00;10.00;2.00;N 
21/09/2013;25.00;33.80;29.10;71.00;3.20;3.30;4.00;20.00;2.00;N 
22/09/2013;25.00;34.00;29.00;73.00;0.00;5.00;3.00;350.00;2.00;N 
23/09/2013;26.00;34.00;29.10;70.00;0.00;8.00;3.00;10.00;2.00;S 
24/09/2013;26.00;35.20;29.80;63.00;0.00;8.00;5.00;80.00;2.00;E 
25/09/2013;27.00;35.40;29.80;69.00;0.00;7.60;3.00;20.00;2.00;N 
26/09/2013;26.00;33.40;29.40;72.00;0.00;7.70;3.00;250.00;2.00;N 
27/09/2013;26.00;33.40;28.90;70.00;0.00;7.40;4.00;350.00;2.00;N 
28/09/2013;27.00;32.80;29.70;74.00;0.00;3.00;5.00;30.00;2.00;N 
29/09/2013;27.00;33.00;29.40;70.00;0.00;6.70;3.00;360.00;3.00;N 
30/09/2013;26.00;31.80;28.30;78.00;0.00;2.00;4.00;20.00;2.00;N 
01/10/2013;26.00;35.20;29.40;71.00;0.00;4.00;4.00;70.00;1.00;E 
02/10/2013;27.00;34.20;29.80;72.00;0.00;2.00;3.00;40.00;0.00;NE
03/10/2013;26.00;34.20;29.90;69.00;0.00;7.00;3.00;90.00;1.00;N 
04/10/2013;26.00;34.00;29.60;65.00;0.00;8.00;3.00;20.00;2.00;N 
05/10/2013;25.00;34.20;29.80;71.00;27.50;7.40;4.00;20.00;2.00;N 
06/10/2013;26.00;33.30;28.80;74.00;0.00;8.00;3.00;20.00;1.00;N 
07/10/2013;25.00;31.80;28.80;70.00;0.40;1.20;3.00;360.00;1.00;N 
08/10/2013;26.00;33.80;29.20;73.00;0.00;8.00;4.00;340.00;2.00;N 
09/10/2013;26.00;33.60;29.40;68.00;0.00;7.00;3.00;90.00;1.00;N 
10/10/2013;26.00;34.20;29.70;66.00;0.00;8.00;5.00;350.00;2.00;N 
11/10/2013;25.00;34.00;29.60;69.00;0.00;8.00;4.00;330.00;2.00;W 
12/10/2013;26.00;33.80;29.70;69.00;0.50;7.00;4.00;260.00;2.00;N 
13/10/2013;26.00;33.40;29.20;70.00;0.00;2.30;3.00;260.00;1.00;W 
14/10/2013;26.00;34.00;29.90;67.00;0.00;7.00;3.00;40.00;1.00;N 
15/10/2013;27.00;34.40;30.00;67.00;0.00;8.00;5.00;350.00;2.00;N 
16/10/2013;27.00;35.80;30.50;67.00;0.00;6.30;4.00;340.00;2.00;E 
17/10/2013;26.00;35.80;31.30;68.00;0.00;8.00;5.00;80.00;2.00;E 
18/10/2013;26.00;33.00;29.50;76.00;0.60;0.50;5.00;70.00;2.00;E 
19/10/2013;25.00;33.80;29.10;75.00;6.70;5.60;5.00;20.00;2.00;N 
20/10/2013;26.00;34.60;29.00;74.00;0.00;7.40;3.00;10.00;2.00;N 
21/10/2013;25.00;33.80;29.80;67.00;0.00;7.50;5.00;360.00;2.00;N 
22/10/2013;25.00;34.00;29.10;72.00;0.00;5.50;9.00;240.00;2.00;N 
23/10/2013;25.00;34.40;31.60;72.00;4.50;7.00;3.00;350.00;2.00;N 
24/10/2013;26.00;32.80;29.50;72.00;0.00;2.70;3.00;340.00;2.00;N 
25/10/2013;26.00;33.40;29.30;74.00;0.00;6.00;4.00;10.00;2.00;N 
